
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1856
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11832
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       5936
  TCP    0.0.0.0:8089           0.0.0.0:0              LISTENING       5936
  TCP    0.0.0.0:8191           0.0.0.0:0              LISTENING       19864
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       13560
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1596
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1420
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2112
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2976
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4204
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       4824
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING       1540
  TCP    0.0.0.0:54235          0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:1337         0.0.0.0:0              LISTENING       4912
  TCP    127.0.0.1:1337         127.0.0.1:51316        ESTABLISHED     4912
  TCP    127.0.0.1:1337         127.0.0.1:62067        ESTABLISHED     4912
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4756
  TCP    127.0.0.1:8065         0.0.0.0:0              LISTENING       20956
  TCP    127.0.0.1:8191         127.0.0.1:53139        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53140        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53141        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53142        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53143        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53144        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:53145        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:55969        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:55970        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:55971        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:55972        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61642        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61643        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61644        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61645        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61646        ESTABLISHED     19864
  TCP    127.0.0.1:8191         127.0.0.1:61647        ESTABLISHED     19864
  TCP    127.0.0.1:8194         0.0.0.0:0              LISTENING       21240
  TCP    127.0.0.1:8194         127.0.0.1:53082        ESTABLISHED     21240
  TCP    127.0.0.1:8194         127.0.0.1:53083        ESTABLISHED     21240
  TCP    127.0.0.1:13331        0.0.0.0:0              LISTENING       6072
  TCP    127.0.0.1:13344        0.0.0.0:0              LISTENING       21940
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       13560
  TCP    127.0.0.1:49669        0.0.0.0:0              LISTENING       4896
  TCP    127.0.0.1:49669        127.0.0.1:52450        ESTABLISHED     4896
  TCP    127.0.0.1:49669        127.0.0.1:62070        ESTABLISHED     4896
  TCP    127.0.0.1:49669        127.0.0.1:62083        ESTABLISHED     4896
  TCP    127.0.0.1:49670        0.0.0.0:0              LISTENING       4896
  TCP    127.0.0.1:49670        127.0.0.1:52439        ESTABLISHED     4896
  TCP    127.0.0.1:49670        127.0.0.1:62069        ESTABLISHED     4896
  TCP    127.0.0.1:49670        127.0.0.1:62082        ESTABLISHED     4896
  TCP    127.0.0.1:49674        127.0.0.1:51313        ESTABLISHED     4824
  TCP    127.0.0.1:51313        127.0.0.1:49674        ESTABLISHED     2200
  TCP    127.0.0.1:51316        127.0.0.1:1337         ESTABLISHED     2200
  TCP    127.0.0.1:51320        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:52436        0.0.0.0:0              LISTENING       3420
  TCP    127.0.0.1:52439        127.0.0.1:49670        ESTABLISHED     3420
  TCP    127.0.0.1:52450        127.0.0.1:49669        ESTABLISHED     3420
  TCP    127.0.0.1:53082        127.0.0.1:8194         ESTABLISHED     10288
  TCP    127.0.0.1:53083        127.0.0.1:8194         ESTABLISHED     10288
  TCP    127.0.0.1:53092        0.0.0.0:0              LISTENING       1060
  TCP    127.0.0.1:53095        0.0.0.0:0              LISTENING       1060
  TCP    127.0.0.1:53095        127.0.0.1:53118        ESTABLISHED     1060
  TCP    127.0.0.1:53105        0.0.0.0:0              LISTENING       2092
  TCP    127.0.0.1:53106        0.0.0.0:0              LISTENING       2092
  TCP    127.0.0.1:53106        127.0.0.1:53120        ESTABLISHED     2092
  TCP    127.0.0.1:53107        127.0.0.1:61651        ESTABLISHED     10288
  TCP    127.0.0.1:53118        127.0.0.1:53095        ESTABLISHED     10288
  TCP    127.0.0.1:53120        127.0.0.1:53106        ESTABLISHED     10288
  TCP    127.0.0.1:53133        0.0.0.0:0              LISTENING       21396
  TCP    127.0.0.1:53133        127.0.0.1:62094        ESTABLISHED     21396
  TCP    127.0.0.1:53135        0.0.0.0:0              LISTENING       21396
  TCP    127.0.0.1:53135        127.0.0.1:53152        ESTABLISHED     21396
  TCP    127.0.0.1:53139        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53140        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53141        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53142        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53143        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53144        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53145        127.0.0.1:8191         ESTABLISHED     13748
  TCP    127.0.0.1:53152        127.0.0.1:53135        ESTABLISHED     10288
  TCP    127.0.0.1:53164        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:53169        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:53170        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:53171        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:53622        127.0.0.1:55957        ESTABLISHED     21396
  TCP    127.0.0.1:53623        0.0.0.0:0              LISTENING       13560
  TCP    127.0.0.1:53623        127.0.0.1:53632        ESTABLISHED     13560
  TCP    127.0.0.1:53624        0.0.0.0:0              LISTENING       13560
  TCP    127.0.0.1:53624        127.0.0.1:53631        ESTABLISHED     13560
  TCP    127.0.0.1:53631        127.0.0.1:53624        ESTABLISHED     6416
  TCP    127.0.0.1:53632        127.0.0.1:53623        ESTABLISHED     6416
  TCP    127.0.0.1:55957        0.0.0.0:0              LISTENING       10288
  TCP    127.0.0.1:55957        127.0.0.1:51320        ESTABLISHED     10288
  TCP    127.0.0.1:55957        127.0.0.1:53164        ESTABLISHED     10288
  TCP    127.0.0.1:55957        127.0.0.1:53169        ESTABLISHED     10288
  TCP    127.0.0.1:55957        127.0.0.1:53170        ESTABLISHED     10288
  TCP    127.0.0.1:55957        127.0.0.1:53171        ESTABLISHED     10288
  TCP    127.0.0.1:55957        127.0.0.1:53622        ESTABLISHED     10288
  TCP    127.0.0.1:55959        0.0.0.0:0              LISTENING       10288
  TCP    127.0.0.1:55969        127.0.0.1:8191         ESTABLISHED     19864
  TCP    127.0.0.1:55970        127.0.0.1:8191         ESTABLISHED     19864
  TCP    127.0.0.1:55971        127.0.0.1:8191         ESTABLISHED     19864
  TCP    127.0.0.1:55972        127.0.0.1:8191         ESTABLISHED     19864
  TCP    127.0.0.1:61642        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61643        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61644        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61645        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61646        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61647        127.0.0.1:8191         ESTABLISHED     5936
  TCP    127.0.0.1:61651        0.0.0.0:0              LISTENING       21240
  TCP    127.0.0.1:61651        127.0.0.1:53107        ESTABLISHED     21240
  TCP    127.0.0.1:62067        127.0.0.1:1337         ESTABLISHED     2200
  TCP    127.0.0.1:62068        0.0.0.0:0              LISTENING       3420
  TCP    127.0.0.1:62069        127.0.0.1:49670        ESTABLISHED     3420
  TCP    127.0.0.1:62070        127.0.0.1:49669        ESTABLISHED     3420
  TCP    127.0.0.1:62081        0.0.0.0:0              LISTENING       3420
  TCP    127.0.0.1:62082        127.0.0.1:49670        ESTABLISHED     3420
  TCP    127.0.0.1:62083        127.0.0.1:49669        ESTABLISHED     3420
  TCP    127.0.0.1:62094        127.0.0.1:53133        ESTABLISHED     21396
  TCP    127.0.0.1:65444        0.0.0.0:0              LISTENING       6092
  TCP    192.168.1.8:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.8:50449      140.82.114.26:443      ESTABLISHED     13516
  TCP    192.168.1.8:52555      140.82.113.21:443      ESTABLISHED     13516
  TCP    192.168.1.8:53627      192.168.1.17:8008      ESTABLISHED     6416
  TCP    192.168.1.8:53630      192.168.1.17:8009      ESTABLISHED     6416
  TCP    192.168.1.8:53636      103.10.125.22:27018    ESTABLISHED     13560
  TCP    192.168.1.8:53647      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:53649      23.212.168.138:443     CLOSE_WAIT      6416
