
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,424 K
Registry                       272 Services                   0     36,116 K
smss.exe                       844 Services                   0        228 K
csrss.exe                     1240 Services                   0      3,468 K
wininit.exe                   1420 Services                   0      1,492 K
csrss.exe                     1432 Console                    1      3,760 K
winlogon.exe                  1532 Console                    1      4,536 K
services.exe                  1540 Services                   0      8,384 K
lsass.exe                     1596 Services                   0     23,168 K
svchost.exe                   1728 Services                   0     22,824 K
fontdrvhost.exe               1760 Console                    1      5,004 K
fontdrvhost.exe               1768 Services                   0        924 K
svchost.exe                   1856 Services                   0     14,508 K
svchost.exe                   1896 Services                   0      4,852 K
dwm.exe                       1972 Console                    1     89,396 K
svchost.exe                   1412 Services                   0      6,412 K
svchost.exe                   1664 Services                   0      6,388 K
svchost.exe                   1608 Services                   0      1,456 K
svchost.exe                   1652 Services                   0      8,992 K
svchost.exe                   1508 Services                   0      3,444 K
svchost.exe                   1844 Services                   0      2,544 K
svchost.exe                   2112 Services                   0     10,932 K
svchost.exe                   2248 Services                   0      2,164 K
svchost.exe                   2348 Services                   0      6,716 K
svchost.exe                   2356 Services                   0      5,328 K
svchost.exe                   2376 Services                   0      5,596 K
svchost.exe                   2408 Services                   0      2,936 K
svchost.exe                   2564 Services                   0     11,544 K
svchost.exe                   2640 Services                   0      9,388 K
WUDFHost.exe                  2952 Services                   0      1,908 K
amdfendrsr.exe                2960 Services                   0      2,228 K
svchost.exe                   2976 Services                   0     17,096 K
svchost.exe                   3008 Services                   0     29,996 K
svchost.exe                   3004 Services                   0      3,828 K
svchost.exe                   3028 Services                   0      2,612 K
svchost.exe                   3052 Services                   0      7,056 K
svchost.exe                   3336 Services                   0      8,844 K
svchost.exe                   3356 Services                   0      1,988 K
svchost.exe                   3364 Services                   0      5,176 K
svchost.exe                   3372 Services                   0      5,004 K
Memory Compression            3496 Services                   0    599,432 K
svchost.exe                   3548 Services                   0      2,536 K
svchost.exe                   3604 Services                   0      4,916 K
svchost.exe                   3608 Services                   0      5,128 K
svchost.exe                   3620 Services                   0      3,096 K
svchost.exe                   3808 Services                   0     12,312 K
svchost.exe                   3844 Services                   0      4,488 K
svchost.exe                   3948 Services                   0      4,896 K
svchost.exe                   3960 Services                   0      3,256 K
svchost.exe                   3648 Services                   0      8,960 K
svchost.exe                   4104 Services                   0      4,528 K
spoolsv.exe                   4204 Services                   0      5,732 K
svchost.exe                   4276 Services                   0     20,824 K
svchost.exe                   4320 Services                   0      2,076 K
svchost.exe                   4372 Services                   0     14,316 K
svchost.exe                   4380 Services                   0      3,424 K
mDNSResponder.exe             4756 Services                   0      4,384 K
svchost.exe                   4764 Services                   0     45,996 K
svchost.exe                   4776 Services                   0     42,876 K
svchost.exe                   4792 Services                   0      3,144 K
svchost.exe                   4800 Services                   0      3,736 K
HPPrintScanDoctorService.     4808 Services                   0      2,256 K
CortexLauncherService.exe     4816 Services                   0      1,840 K
GameManagerService3.exe       4824 Services                   0    171,132 K
svchost.exe                   4832 Services                   0      1,692 K
wallpaperservice32.exe        4840 Services                   0      1,500 K
RzSDKService.exe              4848 Services                   0      2,388 K
HapticService.exe             4856 Services                   0      3,440 K
svchost.exe                   4864 Services                   0      2,324 K
GameManagerService.exe        4872 Services                   0      3,832 K
RazerCentralService.exe       4880 Services                   0     19,324 K
MpDefenderCoreService.exe     4888 Services                   0     22,588 K
VSSrv.exe                     4896 Services                   0      5,392 K
svchost.exe                   4904 Services                   0      2,644 K
RzSDKServer.exe               4912 Services                   0      5,820 K
svchost.exe                   4920 Services                   0     11,308 K
svchost.exe                   4928 Services                   0     18,180 K
InstallAssistService.exe      4940 Services                   0      1,616 K
MsMpEng.exe                   4948 Services                   0    330,316 K
Sysmon64.exe                  4968 Services                   0     16,844 K
svchost.exe                   5404 Services                   0      4,884 K
splunkd.exe                   5936 Services                   0    205,108 K
RzAppManager                  5948 Services                   0      2,600 K
RzBTLEManager                 5968 Services                   0      3,044 K
RzChromaConnectManager        6040 Services                   0      2,016 K
